GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
82313,0.74,-0.04,9.49,0.02,-0.02,0.01,2
82321,0.73,-0.04,9.52,0.03,-0.02,0.01,2
82329,0.76,-0.03,9.55,0.03,-0.03,0.00,2
82338,0.76,-0.05,9.52,0.02,-0.03,0.00,2
82348,0.80,-0.04,9.50,0.02,-0.03,-0.00,2
82356,0.80,-0.05,9.47,0.02,-0.03,-0.00,2
82365,0.80,-0.06,9.45,0.02,-0.02,0.00,2
82374,0.87,-0.05,9.40,0.02,-0.02,0.00,2
82383,0.88,-0.06,9.32,0.02,-0.02,0.00,2
82391,0.89,-0.05,9.30,0.02,-0.02,0.00,2
82400,0.85,-0.06,9.33,0.02,-0.02,-0.00,2
82409,0.85,-0.05,9.34,0.02,-0.02,-0.00,2
82418,0.82,-0.06,9.43,0.01,-0.02,-0.01,2
82426,0.79,-0.05,9.49,0.01,-0.02,-0.01,2
82435,0.77,-0.04,9.63,0.02,-0.01,-0.01,2
82444,0.75,-0.07,9.65,0.02,-0.01,-0.00,2
82453,0.77,-0.09,9.54,0.02,-0.01,0.00,2
82461,0.80,-0.08,9.44,0.02,-0.02,0.00,2
82470,0.86,-0.06,9.34,0.01,-0.03,0.01,2
82479,0.85,-0.07,9.31,0.00,-0.03,0.00,2
82488,0.87,-0.05,9.31,-0.00,-0.03,0.00,2
82496,0.86,-0.06,9.36,0.00,-0.03,0.00,2
82504,0.84,-0.05,9.38,0.01,-0.02,0.01,2
82513,0.82,-0.11,9.46,0.01,-0.01,0.01,2
82521,0.81,-0.12,9.52,0.02,-0.01,0.01,2
82529,0.75,-0.10,9.57,0.03,-0.01,0.01,2
82538,0.77,-0.07,9.57,0.03,-0.02,0.00,2
82546,0.78,-0.05,9.50,0.03,-0.02,-0.00,2
82554,0.80,-0.04,9.47,0.02,-0.02,-0.01,2
82563,0.80,-0.05,9.48,0.02,-0.03,-0.01,2
82571,0.81,-0.05,9.47,0.02,-0.04,-0.01,2
82579,0.79,-0.03,9.42,0.02,-0.04,-0.01,2
82588,0.82,-0.03,9.43,0.02,-0.03,-0.00,3
82616,0.86,-0.05,9.29,0.02,-0.02,0.01,3
82848,0.81,-0.10,9.49,0.02,-0.02,-0.01,3
82864,0.82,-0.11,9.35,0.03,-0.03,-0.00,3
82875,0.86,-0.11,9.33,0.02,-0.03,0.00,3
82883,0.86,-0.08,9.38,0.02,-0.03,0.00,3
82893,0.89,-0.08,9.39,0.02,-0.02,0.01,3
